Date,Open,High,Low,Close,Index
2013-01-07,,,,24.4334,Quant Multi Asset Allocation Fund
2013-01-08,,,,24.438,Quant Multi Asset Allocation Fund
2013-01-09,,,,24.4426,Quant Multi Asset Allocation Fund
2013-01-10,,,,24.4472,Quant Multi Asset Allocation Fund
2013-01-11,,,,24.4518,Quant Multi Asset Allocation Fund
2013-01-14,,,,24.4656,Quant Multi Asset Allocation Fund
2013-01-15,,,,24.4702,Quant Multi Asset Allocation Fund
2013-01-16,,,,24.4748,Quant Multi Asset Allocation Fund
2013-01-17,,,,24.4793,Quant Multi Asset Allocation Fund
2013-01-18,,,,24.4839,Quant Multi Asset Allocation Fund
2013-01-21,,,,24.4977,Quant Multi Asset Allocation Fund
2013-01-22,,,,24.5023,Quant Multi Asset Allocation Fund
2013-01-23,,,,24.5069,Quant Multi Asset Allocation Fund
2013-01-24,,,,24.5114,Quant Multi Asset Allocation Fund
2013-01-25,,,,24.5158,Quant Multi Asset Allocation Fund
2013-01-28,,,,24.5298,Quant Multi Asset Allocation Fund
2013-01-29,,,,24.5344,Quant Multi Asset Allocation Fund
2013-01-30,,,,24.5336,Quant Multi Asset Allocation Fund
2013-01-31,,,,24.5382,Quant Multi Asset Allocation Fund
2013-02-01,,,,24.5428,Quant Multi Asset Allocation Fund
2013-02-04,,,,24.5566,Quant Multi Asset Allocation Fund
2013-02-05,,,,24.561,Quant Multi Asset Allocation Fund
2013-02-06,,,,24.5658,Quant Multi Asset Allocation Fund
2013-02-07,,,,24.5704,Quant Multi Asset Allocation Fund
2013-02-08,,,,24.575,Quant Multi Asset Allocation Fund
2013-02-11,,,,24.5888,Quant Multi Asset Allocation Fund
2013-02-12,,,,24.5936,Quant Multi Asset Allocation Fund
2013-02-13,,,,24.5981,Quant Multi Asset Allocation Fund
2013-02-14,,,,24.6032,Quant Multi Asset Allocation Fund
2013-02-15,,,,24.6079,Quant Multi Asset Allocation Fund
2013-02-18,,,,24.6223,Quant Multi Asset Allocation Fund
2013-02-19,,,,24.6268,Quant Multi Asset Allocation Fund
2013-02-20,,,,24.6319,Quant Multi Asset Allocation Fund
2013-02-21,,,,24.6367,Quant Multi Asset Allocation Fund
2013-02-22,,,,24.6415,Quant Multi Asset Allocation Fund
2013-02-25,,,,24.6558,Quant Multi Asset Allocation Fund
2013-02-26,,,,24.6606,Quant Multi Asset Allocation Fund
2013-02-27,,,,24.6654,Quant Multi Asset Allocation Fund
2013-02-28,,,,24.6813,Quant Multi Asset Allocation Fund
2013-03-01,,,,24.6861,Quant Multi Asset Allocation Fund
2013-03-04,,,,24.7005,Quant Multi Asset Allocation Fund
2013-03-05,,,,24.7053,Quant Multi Asset Allocation Fund
2013-03-06,,,,24.7101,Quant Multi Asset Allocation Fund
2013-03-07,,,,24.7149,Quant Multi Asset Allocation Fund
2013-03-08,,,,24.7197,Quant Multi Asset Allocation Fund
2013-03-11,,,,24.7341,Quant Multi Asset Allocation Fund
2013-03-12,,,,24.7389,Quant Multi Asset Allocation Fund
2013-03-13,,,,24.7437,Quant Multi Asset Allocation Fund
2013-03-14,,,,24.7484,Quant Multi Asset Allocation Fund
2013-03-15,,,,24.7532,Quant Multi Asset Allocation Fund
2013-03-18,,,,24.7676,Quant Multi Asset Allocation Fund
2013-03-19,,,,24.7724,Quant Multi Asset Allocation Fund
2013-03-20,,,,24.7772,Quant Multi Asset Allocation Fund
2013-03-21,,,,24.782,Quant Multi Asset Allocation Fund
2013-03-22,,,,24.7868,Quant Multi Asset Allocation Fund
2013-03-25,,,,24.8012,Quant Multi Asset Allocation Fund
2013-03-26,,,,24.8059,Quant Multi Asset Allocation Fund
2013-03-28,,,,24.8162,Quant Multi Asset Allocation Fund
2013-03-29,,,,24.8207,Quant Multi Asset Allocation Fund
2013-04-01,,,,24.8287,Quant Multi Asset Allocation Fund
2013-04-02,,,,24.834,Quant Multi Asset Allocation Fund
2013-04-03,,,,24.8388,Quant Multi Asset Allocation Fund
2013-04-04,,,,24.8436,Quant Multi Asset Allocation Fund
2013-04-05,,,,24.8487,Quant Multi Asset Allocation Fund
2013-04-08,,,,24.8628,Quant Multi Asset Allocation Fund
2013-04-09,,,,24.8675,Quant Multi Asset Allocation Fund
2013-04-10,,,,24.8725,Quant Multi Asset Allocation Fund
2013-04-11,,,,24.877,Quant Multi Asset Allocation Fund
2013-04-12,,,,24.8822,Quant Multi Asset Allocation Fund
2013-04-15,,,,24.8963,Quant Multi Asset Allocation Fund
2013-04-16,,,,24.901,Quant Multi Asset Allocation Fund
2013-04-17,,,,24.9058,Quant Multi Asset Allocation Fund
2013-04-18,,,,24.911,Quant Multi Asset Allocation Fund
2013-04-19,,,,24.9155,Quant Multi Asset Allocation Fund
2013-04-22,,,,24.9298,Quant Multi Asset Allocation Fund
2013-04-23,,,,24.9347,Quant Multi Asset Allocation Fund
2013-04-24,,,,24.9392,Quant Multi Asset Allocation Fund
2013-04-25,,,,24.9437,Quant Multi Asset Allocation Fund
2013-04-26,,,,24.9492,Quant Multi Asset Allocation Fund
2013-04-29,,,,24.9627,Quant Multi Asset Allocation Fund
2013-04-30,,,,24.9679,Quant Multi Asset Allocation Fund
2013-05-02,,,,24.9774,Quant Multi Asset Allocation Fund
2013-05-03,,,,24.9822,Quant Multi Asset Allocation Fund
2013-05-06,,,,24.9966,Quant Multi Asset Allocation Fund
2013-05-07,,,,25.0014,Quant Multi Asset Allocation Fund
2013-05-08,,,,25.0061,Quant Multi Asset Allocation Fund
2013-05-09,,,,25.0109,Quant Multi Asset Allocation Fund
2013-05-10,,,,25.0157,Quant Multi Asset Allocation Fund
2013-05-13,,,,25.03,Quant Multi Asset Allocation Fund
2013-05-14,,,,25.0348,Quant Multi Asset Allocation Fund
2013-05-15,,,,25.0396,Quant Multi Asset Allocation Fund
2013-05-16,,,,25.0444,Quant Multi Asset Allocation Fund
2013-05-17,,,,25.0491,Quant Multi Asset Allocation Fund
2013-05-20,,,,25.0635,Quant Multi Asset Allocation Fund
