Date,Open,High,Low,Close,Index
2013-01-01,,,,19.1492,HDFC Multi Asset Allocation Fund
2013-01-02,,,,19.1917,HDFC Multi Asset Allocation Fund
2013-01-03,,,,19.2186,HDFC Multi Asset Allocation Fund
2013-01-04,,,,19.2387,HDFC Multi Asset Allocation Fund
2013-01-07,,,,19.2551,HDFC Multi Asset Allocation Fund
2013-01-08,,,,19.2556,HDFC Multi Asset Allocation Fund
2013-01-09,,,,19.2447,HDFC Multi Asset Allocation Fund
2013-01-10,,,,19.2452,HDFC Multi Asset Allocation Fund
2013-01-11,,,,19.2169,HDFC Multi Asset Allocation Fund
2013-01-14,,,,19.2671,HDFC Multi Asset Allocation Fund
2013-01-15,,,,19.2696,HDFC Multi Asset Allocation Fund
2013-01-16,,,,19.2248,HDFC Multi Asset Allocation Fund
2013-01-17,,,,19.2526,HDFC Multi Asset Allocation Fund
2013-01-18,,,,19.2702,HDFC Multi Asset Allocation Fund
2013-01-21,,,,19.279,HDFC Multi Asset Allocation Fund
2013-01-22,,,,19.2361,HDFC Multi Asset Allocation Fund
2013-01-23,,,,19.2008,HDFC Multi Asset Allocation Fund
2013-01-24,,,,19.1388,HDFC Multi Asset Allocation Fund
2013-01-28,,,,19.2027,HDFC Multi Asset Allocation Fund
2013-01-29,,,,19.1766,HDFC Multi Asset Allocation Fund
2013-01-30,,,,19.1534,HDFC Multi Asset Allocation Fund
2013-01-31,,,,19.1791,HDFC Multi Asset Allocation Fund
2013-02-01,,,,19.1297,HDFC Multi Asset Allocation Fund
2013-02-04,,,,19.1074,HDFC Multi Asset Allocation Fund
2013-02-05,,,,19.0921,HDFC Multi Asset Allocation Fund
2013-02-06,,,,19.0893,HDFC Multi Asset Allocation Fund
2013-02-07,,,,19.0619,HDFC Multi Asset Allocation Fund
2013-02-08,,,,19.0379,HDFC Multi Asset Allocation Fund
2013-02-11,,,,19.0456,HDFC Multi Asset Allocation Fund
2013-02-12,,,,19.0592,HDFC Multi Asset Allocation Fund
2013-02-13,,,,19.0514,HDFC Multi Asset Allocation Fund
2013-02-14,,,,19.0106,HDFC Multi Asset Allocation Fund
2013-02-15,,,,19.0039,HDFC Multi Asset Allocation Fund
2013-02-18,,,,19.0211,HDFC Multi Asset Allocation Fund
2013-02-20,,,,19.0631,HDFC Multi Asset Allocation Fund
2013-02-21,,,,19.0196,HDFC Multi Asset Allocation Fund
2013-02-22,,,,19.0215,HDFC Multi Asset Allocation Fund
2013-02-25,,,,19.013,HDFC Multi Asset Allocation Fund
2013-02-26,,,,18.9676,HDFC Multi Asset Allocation Fund
2013-02-27,,,,18.9893,HDFC Multi Asset Allocation Fund
2013-02-28,,,,18.9395,HDFC Multi Asset Allocation Fund
2013-03-01,,,,18.9391,HDFC Multi Asset Allocation Fund
2013-03-04,,,,18.904,HDFC Multi Asset Allocation Fund
2013-03-05,,,,18.9429,HDFC Multi Asset Allocation Fund
2013-03-06,,,,18.9868,HDFC Multi Asset Allocation Fund
2013-03-07,,,,19.0163,HDFC Multi Asset Allocation Fund
2013-03-08,,,,19.0421,HDFC Multi Asset Allocation Fund
2013-03-11,,,,19.0708,HDFC Multi Asset Allocation Fund
2013-03-12,,,,19.0593,HDFC Multi Asset Allocation Fund
2013-03-13,,,,19.0258,HDFC Multi Asset Allocation Fund
2013-03-14,,,,19.0592,HDFC Multi Asset Allocation Fund
2013-03-15,,,,19.0486,HDFC Multi Asset Allocation Fund
2013-03-18,,,,19.0582,HDFC Multi Asset Allocation Fund
2013-03-19,,,,19.0127,HDFC Multi Asset Allocation Fund
2013-03-20,,,,18.9645,HDFC Multi Asset Allocation Fund
2013-03-21,,,,18.9115,HDFC Multi Asset Allocation Fund
2013-03-22,,,,18.9086,HDFC Multi Asset Allocation Fund
2013-03-25,,,,18.917,HDFC Multi Asset Allocation Fund
2013-03-26,,,,18.9222,HDFC Multi Asset Allocation Fund
2013-03-28,,,,18.9753,HDFC Multi Asset Allocation Fund
2013-04-02,,,,19.0855,HDFC Multi Asset Allocation Fund
2013-04-03,,,,19.072,HDFC Multi Asset Allocation Fund
2013-04-04,,,,19.0412,HDFC Multi Asset Allocation Fund
2013-04-05,,,,19.0425,HDFC Multi Asset Allocation Fund
2013-04-08,,,,19.0544,HDFC Multi Asset Allocation Fund
2013-04-09,,,,19.0268,HDFC Multi Asset Allocation Fund
2013-04-10,,,,19.0428,HDFC Multi Asset Allocation Fund
2013-04-12,,,,19.0614,HDFC Multi Asset Allocation Fund
2013-04-15,,,,19.0833,HDFC Multi Asset Allocation Fund
2013-04-16,,,,19.1177,HDFC Multi Asset Allocation Fund
2013-04-17,,,,19.1268,HDFC Multi Asset Allocation Fund
2013-04-18,,,,19.1725,HDFC Multi Asset Allocation Fund
2013-04-22,,,,19.1907,HDFC Multi Asset Allocation Fund
2013-04-23,,,,19.1851,HDFC Multi Asset Allocation Fund
2013-04-25,,,,19.2002,HDFC Multi Asset Allocation Fund
2013-04-26,,,,19.1882,HDFC Multi Asset Allocation Fund
2013-04-29,,,,19.2178,HDFC Multi Asset Allocation Fund
2013-04-30,,,,19.2145,HDFC Multi Asset Allocation Fund
2013-05-02,,,,19.2572,HDFC Multi Asset Allocation Fund
2013-05-03,,,,19.2192,HDFC Multi Asset Allocation Fund
2013-05-06,,,,19.2432,HDFC Multi Asset Allocation Fund
2013-05-07,,,,19.2668,HDFC Multi Asset Allocation Fund
2013-05-08,,,,19.2775,HDFC Multi Asset Allocation Fund
2013-05-09,,,,19.2875,HDFC Multi Asset Allocation Fund
2013-05-10,,,,19.3095,HDFC Multi Asset Allocation Fund
2013-05-13,,,,19.2801,HDFC Multi Asset Allocation Fund
2013-05-14,,,,19.2745,HDFC Multi Asset Allocation Fund
2013-05-15,,,,19.3255,HDFC Multi Asset Allocation Fund
2013-05-16,,,,19.3487,HDFC Multi Asset Allocation Fund
2013-05-17,,,,19.3752,HDFC Multi Asset Allocation Fund
2013-05-20,,,,19.373,HDFC Multi Asset Allocation Fund
2013-05-21,,,,19.3438,HDFC Multi Asset Allocation Fund
2013-05-22,,,,19.3427,HDFC Multi Asset Allocation Fund
